"vacancyID","applicationDate","candidateID","name","nameLat","gender","occupation","ethnicity","city","city2","website","RA","ethnCollapsed","ethnGroup2","emailContact","websiteContact","phoneContact","response","rejected","genderEmp","notRussianEmp"
24,2018-05-30,322,"Язгуль Байназарова","Yazgul Baynazarova","female","cook","Bashkir","Ufa","Kazan/Ufa","2","2",NA,NA,0,1,0,1,0,NA,NA
25,2018-05-30,310,"Зарема Ахмадова","Zarema Akhmadova","female","salesperson","Chechen","St Petersburg","Moscow/St Petersburg","2","2","Chechen/Azeri","Southern",0,0,0,0,0,NA,NA
26,2018-05-30,6,"Ярослав Кузьмин","Yaroslav Kuzmin","male","salesperson","Russian","St Petersburg","Moscow/St Petersburg","2","3","Russian","European",0,0,0,0,0,NA,NA
27,2018-05-30,69,"Шота Ломидзе","Shota Lomidze","male","salesperson","Georgian","Moscow","Moscow/St Petersburg","2","3","Georgian","Southern",0,0,0,0,0,NA,NA
28,2018-05-30,53,"Иванна Степанюк","Ivanna Stepanjuk","female","salesperson","Ukrainian","Moscow","Moscow/St Petersburg","2","2","Ukrainian","European",0,0,0,0,0,NA,NA
29,2018-05-30,311,"Макка Идрисова","Makka Idrisova","female","salesperson","Chechen","Kazan","Kazan/Ufa","2","2","Chechen/Azeri","Southern",0,1,1,1,0,"female",0
30,2018-05-30,71,"Мамука Микеладзе","Mamuka Mikeladze","male","salesperson","Georgian","Kazan","Kazan/Ufa","2","3","Georgian","Southern",0,0,0,0,0,NA,NA
31,2018-05-30,88,"Натия Кварацхелия","Natia Kvaratskhelia","female","salesperson","Georgian","Ufa","Kazan/Ufa","2","2","Georgian","Southern",0,0,1,1,0,"female",0
32,2018-05-30,152,"Рада Лившиц","Rada Livshits","female","salesperson","Jewish","Ufa","Kazan/Ufa","2","2","Jewish","European",0,0,1,1,0,"female",0
33,2018-05-30,137,"Виталий Гуревич","Vitaly Gurevich","male","sales manager","Jewish","Moscow","Moscow/St Petersburg","1","4","Jewish","European",0,1,0,1,0,"female",0
34,2018-05-30,121,"Аревик Манукян","Arevik Manukyan","female","sales manager","Armenian","Moscow","Moscow/St Petersburg","1","1","Armenian","Southern",0,0,0,0,0,NA,NA
35,2018-05-30,266,"Джамшед Хамидов","Jamshed Khamidov","male","sales manager","Tajik","St Petersburg","Moscow/St Petersburg","1","4","Tajik/Uzbek","Southern",0,0,0,0,0,NA,NA
36,2018-05-30,90,"Этери Беридзе","Eteri Beridze","female","sales manager","Georgian","St Petersburg","Moscow/St Petersburg","1","1","Georgian","Southern",0,0,0,0,0,NA,NA
37,2018-05-30,27,"Алена Авдеева","Alyona Avdeeva","female","sales manager","Russian","Kazan","Kazan/Ufa","1","1","Russian","European",0,0,1,1,0,"male",0
38,2018-05-30,123,"Гаяне Давтян","Gayane Davtyan","female","sales manager","Armenian","Kazan","Kazan/Ufa","1","1","Armenian","Southern",0,0,1,1,0,"female",0
39,2018-05-30,326,"Наиля Ишкильдина","Nailya Ishkildina","female","sales manager","Bashkir","Ufa","Kazan/Ufa","1","1",NA,NA,0,0,1,1,0,"female",0
40,2018-05-30,140,"Исаак Зильберман","Isaac Zilberman","male","sales manager","Jewish","Ufa","Kazan/Ufa","1","4","Jewish","European",0,0,1,1,0,"female",0
41,2018-05-30,149,"Рита Юднович","Rita Yudnovich","female","salesperson","Jewish","Moscow","Moscow/St Petersburg","1","1","Jewish","European",0,0,0,0,0,NA,NA
42,2018-05-30,229,"Мантас Вайчюнас","Mantas Vaiciunas","male","salesperson","Lithuanian","Moscow","Moscow/St Petersburg","1","4","Latvian/Lithuanian","European",0,0,0,0,0,NA,NA
43,2018-05-30,22,"Ирина Бородина","Irina Borodina","female","salesperson","Russian","St Petersburg","Moscow/St Petersburg","1","1","Russian","European",0,0,1,0,1,"female",0
44,2018-05-30,246,"Камиле Урбанайте","Kamile Urbanayte","female","salesperson","Lithuanian","St Petersburg","Moscow/St Petersburg","1","1","Latvian/Lithuanian","European",0,0,1,1,0,"female",0
45,2018-05-30,103,"Ваграм Погосян","Vahram Poghosyan","male","salesperson","Armenian","Kazan","Kazan/Ufa","1","4","Armenian","Southern",0,0,1,1,0,"female",NA
46,2018-05-30,151,"Светлана Березнер","Svetlana Berezner","female","salesperson","Jewish","Kazan","Kazan/Ufa","1","1","Jewish","European",0,0,0,0,0,NA,NA
47,2018-05-30,312,"Айсель Аскерова","Aysel Askerova","female","salesperson","Azeri","Ufa","Kazan/Ufa","1","1","Chechen/Azeri","Southern",0,0,0,0,0,NA,NA
48,2018-05-30,136,"Александр Каганович","Alexander Kaganovich","male","salesperson","Jewish","Ufa","Kazan/Ufa","1","4","Jewish","European",0,0,0,0,0,NA,NA
49,2018-05-30,249,"Агне Микайлайте","Agne Mikaylayte","female","sales manager","Lithuanian","Moscow","Moscow/St Petersburg","2","2","Latvian/Lithuanian","European",0,1,1,1,0,"female",0
50,2018-05-30,249,"Агне Микайлайте","Agne Mikaylayte","female","sales manager","Lithuanian","Moscow","Moscow/St Petersburg","2","2","Latvian/Lithuanian","European",0,1,0,1,0,NA,NA
51,2018-05-30,314,"Рена Зейналова","Rena Zeynalova","female","sales manager","Azeri","St Petersburg","Moscow/St Petersburg","2","2","Chechen/Azeri","Southern",1,1,0,1,0,NA,NA
52,2018-05-30,58,"Злата Юрченко","Zlata Yurchenko","female","sales manager","Ukrainian","St Petersburg","Moscow/St Petersburg","2","2","Ukrainian","European",0,0,0,0,1,NA,NA
53,2018-05-30,299,"Ибрагим Дудаев","Ibrahim Dudayev","male","sales manager","Chechen","Kazan","Kazan/Ufa","2","3","Chechen/Azeri","Southern",0,1,1,1,0,"male",0
54,2018-05-30,283,"Юлдуз Хафизова","Yulduz Khafizova","female","sales manager","Uzbek","Kazan","Kazan/Ufa","2","2","Tajik/Uzbek","Southern",0,1,0,1,0,NA,NA
55,2018-05-30,124,"Ануш Костанян","Anush Kostanyan","female","sales manager","Armenian","Ufa","Kazan/Ufa","2","2","Armenian","Southern",0,1,0,1,0,NA,NA
56,2018-05-30,12,"Вячеслав Иванов","Vyacheslav Ivanov","male","sales manager","Russian","Ufa","Kazan/Ufa","2","3","Russian","European",0,0,0,0,0,NA,NA
57,2018-05-30,29,"Валерия Соколова","Valeria Sokolova","female","programmer","Russian","Moscow","Moscow/St Petersburg","2","2","Russian","European",0,0,0,0,1,NA,NA
58,2018-05-30,189,"Миляуша Мингазова","Milyausha Mingazova","female","programmer","Tatar","Moscow","Moscow/St Petersburg","2","2","Tatar","Southern",1,1,0,1,0,NA,NA
59,2018-05-30,254,"Дайна Римкуте","Daina Rimkute","female","programmer","Lithuanian","St Petersburg","Moscow/St Petersburg","2","2","Latvian/Lithuanian","European",1,0,0,1,0,NA,NA
60,2018-05-30,30,"Полина Чернова","Polina Chernova","female","programmer","Russian","St Petersburg","Moscow/St Petersburg","2","2","Russian","European",0,0,0,0,0,NA,NA
61,2018-05-30,271,"Эльбек Аликжонов","Elbek Alikzhonov","male","programmer","Uzbek","Kazan","Kazan/Ufa","2","3","Tajik/Uzbek","Southern",0,0,0,0,1,"female",0
62,2018-05-30,255,"Иева Раткуте","Ieva Ratkute","female","programmer","Lithuanian","Kazan","Kazan/Ufa","2","2","Latvian/Lithuanian","European",0,0,0,0,1,NA,NA
63,2018-05-30,328,"Зульхиза Исканьярова","Zulhiza Iskanyarova","female","programmer","Bashkir","Ufa","Kazan/Ufa","2","2",NA,NA,0,0,0,0,0,NA,NA
64,2018-05-31,305,"Амина Эльмурзаева","Amina Elmurzaeva","female","cook","Chechen","Moscow","Moscow/St Petersburg","2","2","Chechen/Azeri","Southern",0,0,0,0,0,NA,NA
65,2018-05-31,257,"Достон Ибодуллаев","Doston Ibodullaev","male","cook","Uzbek","Moscow","Moscow/St Petersburg","2","3","Tajik/Uzbek","Southern",0,0,0,0,0,NA,NA
66,2018-05-31,114,"Лилит Саакян","Lilit Sahakyan","female","cook","Armenian","St Petersburg","Moscow/St Petersburg","2","2","Armenian","Southern",0,0,0,0,0,NA,NA
67,2018-05-31,82,"Илона Давитадзе","Ilona Davitadze","female","cook","Georgian","St Petersburg","Moscow/St Petersburg","2","2","Georgian","Southern",0,0,0,0,0,NA,NA
68,2018-05-31,259,"Диловар Шарифов","Dilovar Sharifov","male","cook","Tajik","Kazan","Kazan/Ufa","2","3","Tajik/Uzbek","Southern",0,0,0,0,0,NA,NA
69,2018-05-31,35,"Андрий Загарюк","Andriy Zagaryuk","male","cook","Ukrainian","Kazan","Kazan/Ufa","2","3","Ukrainian","European",0,1,1,1,0,"male",NA
70,2018-05-31,100,"Арам Балаян","Aram Balayan","male","cook","Armenian","Ufa","Kazan/Ufa","2","3","Armenian","Southern",0,1,1,1,0,"female",0
71,2018-05-31,212,"Лилия Вебер","Liliya Weber","female","cook","German","Ufa","Kazan/Ufa","2","2","German","European",0,0,1,1,0,"female",NA
72,2018-05-31,293,"Умар Сатуев","Umar Satuev","male","salesperson","Chechen","Moscow","Moscow/St Petersburg","2","3","Chechen/Azeri","Southern",0,0,0,0,0,NA,NA
73,2018-05-31,293,"Умар Сатуев","Umar Satuev","male","salesperson","Chechen","Moscow","Moscow/St Petersburg","2","3","Chechen/Azeri","Southern",1,1,1,1,0,"female",0
74,2018-05-31,6,"Ярослав Кузьмин","Yaroslav Kuzmin","male","salesperson","Russian","St Petersburg","Moscow/St Petersburg","2","3","Russian","European",0,1,1,1,0,"female",0
75,2018-05-31,86,"Нана Чиковани","Nana Chikovani","female","salesperson","Georgian","St Petersburg","Moscow/St Petersburg","2","2","Georgian","Southern",0,0,0,0,0,NA,NA
76,2018-05-31,55,"Мирослава Сипко","Miroslava Sipko","female","salesperson","Ukrainian","Kazan","Kazan/Ufa","2","2","Ukrainian","European",0,1,0,1,0,NA,NA
77,2018-05-31,311,"Макка Идрисова","Makka Idrisova","female","salesperson","Chechen","Kazan","Kazan/Ufa","2","2","Chechen/Azeri","Southern",0,0,0,0,0,NA,NA
78,2018-05-31,323,"Джалил Ульябаев","Jalil Ulyabaev","male","salesperson","Bashkir","Ufa","Kazan/Ufa","2","3",NA,NA,0,1,1,1,0,"female",0
79,2018-05-31,88,"Натия Кварацхелия","Natia Kvaratskhelia","female","salesperson","Georgian","Ufa","Kazan/Ufa","2","2","Georgian","Southern",0,0,1,1,0,"female",0
80,2018-05-31,121,"Аревик Манукян","Arevik Manukyan","female","sales manager","Armenian","Moscow","Moscow/St Petersburg","1","1","Armenian","Southern",0,0,0,0,0,NA,NA
81,2018-05-31,201,"Виталий Кох","Vitaly Koch","male","sales manager","German","Moscow","Moscow/St Petersburg","1","4","German","European",0,1,0,1,0,"female",0
82,2018-05-31,42,"Степан Кравченко","Stepan Kravchenko","male","sales manager","Ukrainian","St Petersburg","Moscow/St Petersburg","1","4","Ukrainian","European",0,0,0,0,0,NA,NA
83,2018-05-31,250,"Лаума Вагале","Lauma Vagale","female","sales manager","Latvian","St Petersburg","Moscow/St Petersburg","1","1","Latvian/Lithuanian","European",0,1,0,1,0,NA,1
84,2018-05-31,75,"Сосо Купрашвили","Soso Kuprashvili","male","sales manager","Georgian","Kazan","Kazan/Ufa","1","4","Georgian","Southern",0,0,0,0,0,NA,NA
85,2018-05-31,123,"Гаяне Давтян","Gayane Davtyan","female","sales manager","Armenian","Kazan","Kazan/Ufa","1","1","Armenian","Southern",0,1,0,1,0,"female",1
86,2018-05-31,92,"Тина Кавтарадзе","Tina Kavtaradze","female","sales manager","Georgian","Ufa","Kazan/Ufa","1","1","Georgian","Southern",0,0,0,0,0,NA,NA
87,2018-05-31,284,"Насиба Абдуллоева","Nasiba Abdulloeva","female","sales manager","Tajik","Ufa","Kazan/Ufa","1","1","Tajik/Uzbek","Southern",0,0,0,0,0,NA,NA
88,2018-05-31,101,"Оганес Тоноян","Oganes Tonoyan","male","salesperson","Armenian","Moscow","Moscow/St Petersburg","1","4","Armenian","Southern",0,0,0,0,0,NA,NA
89,2018-05-31,197,"Олег Фогель","Oleg Vogel","male","salesperson","German","Moscow","Moscow/St Petersburg","1","4","German","European",0,0,0,0,0,NA,NA
90,2018-05-31,214,"Евгения Шульц","Evgeniya Shults","female","salesperson","German","St Petersburg","Moscow/St Petersburg","1","1","German","European",0,0,1,1,0,"female",0
91,2018-05-31,134,"Павел Шендерович","Pavel Shenderovich","male","salesperson","Jewish","St Petersburg","Moscow/St Petersburg","1","4","Jewish","European",0,1,1,1,0,"female",0
92,2018-05-31,151,"Светлана Березнер","Svetlana Berezner","female","salesperson","Jewish","Kazan","Kazan/Ufa","1","1","Jewish","European",0,0,0,0,0,NA,NA
93,2018-05-31,247,"Юрате Кукенайте","Jurate Kukenayte","female","salesperson","Lithuanian","Kazan","Kazan/Ufa","1","1","Latvian/Lithuanian","European",0,0,0,0,0,NA,NA
94,2018-05-31,136,"Александр Каганович","Alexander Kaganovich","male","salesperson","Jewish","Ufa","Kazan/Ufa","1","4","Jewish","European",0,1,1,1,0,"female",1
95,2018-05-31,200,"Константин Меркер","Konstantin Merker","male","salesperson","German","Ufa","Kazan/Ufa","1","4","German","European",0,1,0,1,0,"female",0
96,2018-05-31,153,"Серафима Гершенович","Serafima Gershenovich","female","sales manager","Jewish","Moscow","Moscow/St Petersburg","2","2","Jewish","European",0,0,0,0,0,NA,NA
97,2018-05-31,153,"Серафима Гершенович","Serafima Gershenovich","female","sales manager","Jewish","Moscow","Moscow/St Petersburg","2","2","Jewish","European",0,1,1,1,0,"female",0
98,2018-05-31,26,"Александра Беляева","Aleksandra Belyaeva","female","sales manager","Russian","St Petersburg","Moscow/St Petersburg","2","2","Russian","European",0,1,0,1,0,NA,NA
99,2018-05-31,74,"Дато Вашакидзе","Dato Vashakidze","male","sales manager","Georgian","St Petersburg","Moscow/St Petersburg","2","3","Georgian","Southern",0,0,0,0,0,NA,NA
100,2018-05-31,219,"Марина Вагнер","Marina Wagner","female","sales manager","German","Kazan","Kazan/Ufa","2","2","German","European",0,0,1,1,0,"female",NA
101,2018-05-31,251,"Илга Лайзане","Ilga Lajzane","female","sales manager","Latvian","Kazan","Kazan/Ufa","2","2","Latvian/Lithuanian","European",0,0,1,1,0,"female",0
102,2018-05-31,44,"Виталий Опанасюк","Vitaly Opanasyuk","male","sales manager","Ukrainian","Ufa","Kazan/Ufa","2","3","Ukrainian","European",0,0,1,1,0,"female",NA
103,2018-05-31,76,"Гоча Имнадзе","Gocha Imnadze","male","sales manager","Georgian","Ufa","Kazan/Ufa","2","3","Georgian","Southern",0,1,1,1,0,"male",0
104,2018-05-31,317,"Сева Агаева","Seva Agayeva","female","programmer","Azeri","Moscow","Moscow/St Petersburg","2","2","Chechen/Azeri","Southern",0,0,0,0,0,NA,NA
105,2018-05-31,205,"Анатолий Циглер","Anatoliy Tsigler","male","programmer","German","Moscow","Moscow/St Petersburg","2","3","German","European",1,1,1,1,0,"female",1
106,2018-05-31,222,"Вера Браун","Vera Braun","female","programmer","German","St Petersburg","Moscow/St Petersburg","2","2","German","European",0,0,0,0,0,NA,NA
107,2018-05-31,222,"Вера Браун","Vera Braun","female","programmer","German","St Petersburg","Moscow/St Petersburg","2","2","German","European",0,0,0,0,0,NA,NA
108,2018-05-31,95,"Элене Цаава","Elene Tsaava","female","programmer","Georgian","Kazan","Kazan/Ufa","2","2","Georgian","Southern",0,1,1,1,0,"female",0
109,2018-05-31,159,"Галина Кац","Galina Katz","female","programmer","Jewish","Kazan","Kazan/Ufa","2","2","Jewish","European",0,0,0,0,0,NA,NA
110,2018-05-31,128,"Карине Ширинян","Karine Shirinyan","female","programmer","Armenian","Ufa","Kazan/Ufa","2","2","Armenian","Southern",0,1,0,1,0,NA,NA
111,2018-05-31,64,"Оксана Падалка","Oksana Padalka","female","programmer","Ukrainian","Ufa","Kazan/Ufa","2","2","Ukrainian","European",0,1,1,1,0,"female",0
112,2018-05-31,289,"Эльшад Рагимов","Elshad Rahimov","male","cook","Azeri","Moscow","Moscow/St Petersburg","1","4","Chechen/Azeri","Southern",0,1,0,1,0,NA,NA
113,2018-05-31,209,"Светлана Кригер","Svetlana Krieger","female","cook","German","Moscow","Moscow/St Petersburg","1","1","German","European",0,1,0,0,1,"male",0
114,2018-05-31,98,"Ашот Бабаян","Ashot Babayan","male","cook","Armenian","St Petersburg","Moscow/St Petersburg","1","4","Armenian","Southern",0,0,0,0,1,"male",0
115,2018-05-31,258,"Баха Хушвахтов","Baha Khushvakhtov","male","cook","Tajik","St Petersburg","Moscow/St Petersburg","1","4","Tajik/Uzbek","Southern",0,0,1,1,0,"female",0
116,2018-05-31,83,"Нино Кардава","Nino Kardava","female","cook","Georgian","Kazan","Kazan/Ufa","1","1","Georgian","Southern",0,1,1,1,0,"female",1
117,2018-05-31,211,"Надежда Шнайдер","Nadezhda Schnaider","female","cook","German","Kazan","Kazan/Ufa","1","1","German","European",0,0,0,0,0,NA,NA
118,2018-05-31,4,"Егор Юрьев","Egor Yuryev","male","cook","Russian","Ufa","Kazan/Ufa","1","4","Russian","European",0,0,0,0,0,NA,NA
119,2018-05-31,173,"Алмаз Нуруллин","Almaz Nurullin","male","programmer","Tatar","Moscow","Moscow/St Petersburg","1","4","Tatar","Southern",0,0,0,0,0,NA,NA
120,2018-05-31,13,"Александр Королев","Alexander Korolev","male","programmer","Russian","Moscow","Moscow/St Petersburg","1","4","Russian","European",0,0,0,0,0,NA,NA
121,2018-05-31,318,"Марха Ибрагимова","Markha Ibragimova","female","programmer","Chechen","St Petersburg","Moscow/St Petersburg","1","1","Chechen/Azeri","Southern",0,0,0,0,0,NA,NA
122,2018-05-31,63,"Борислава Пономаренко","Borislava Ponomarenko","female","programmer","Ukrainian","Kazan","Kazan/Ufa","1","1","Ukrainian","European",0,0,0,0,1,"male",1
123,2018-05-31,112,"Левон Агосян","Levon Agosyan","male","programmer","Armenian","Ufa","Kazan/Ufa","1","4","Armenian","Southern",0,0,0,0,0,NA,NA
124,2018-05-31,320,"Ляман Байрамова","Lyaman Bayramova","female","programmer","Azeri","Ufa","Kazan/Ufa","1","1","Chechen/Azeri","Southern",0,0,1,1,0,"female",0
125,2018-06-01,241,"Виталия Римейките","Vitalia Rimeikite","female","cook","Lithuanian","Moscow","Moscow/St Petersburg","1","1","Latvian/Lithuanian","European",0,0,0,0,0,NA,NA
126,2018-06-01,273,"Парвина Мирзоева","Parvina Mirzoyeva","female","cook","Tajik","Moscow","Moscow/St Petersburg","1","1","Tajik/Uzbek","Southern",0,0,0,0,0,NA,NA
127,2018-06-01,194,"Сергей Гренц","Sergey Grenz","male","cook","German","St Petersburg","Moscow/St Petersburg","1","4","German","European",0,0,0,0,0,NA,NA
128,2018-06-01,306,"Айтен Исмаилова","Ayten Ismailova","female","cook","Azeri","St Petersburg","Moscow/St Petersburg","1","1","Chechen/Azeri","Southern",0,1,0,1,0,"female",0
129,2018-06-01,275,"Камола Ходжаева","Kamola Hodzhaeva","female","cook","Uzbek","Kazan","Kazan/Ufa","1","1","Tajik/Uzbek","Southern",0,1,0,1,0,NA,NA
130,2018-06-01,51,"Уляна Бабий","Ulyana Babiy","female","cook","Ukrainian","Kazan","Kazan/Ufa","1","1","Ukrainian","European",0,1,0,1,0,NA,NA
131,2018-06-01,148,"Аделина Шац","Adelina Schatz","female","cook","Jewish","Ufa","Kazan/Ufa","1","1","Jewish","European",0,0,0,0,0,NA,NA
132,2018-06-01,116,"Мане Еремян","Mane Eremyan","female","cook","Armenian","Ufa","Kazan/Ufa","1","1","Armenian","Southern",0,0,0,0,0,NA,NA
133,2018-06-01,77,"Лука Харчилава","Luka Kharchilava","male","programmer","Georgian","Moscow","Moscow/St Petersburg","1","4","Georgian","Southern",0,0,0,0,0,NA,NA
134,2018-06-01,61,"Ярослава Левченко","Yaroslava Levchenko","female","programmer","Ukrainian","Moscow","Moscow/St Petersburg","1","1","Ukrainian","European",0,1,0,1,0,"female",0
135,2018-06-01,94,"Саломе Беришвили","Salome Berishvili","female","programmer","Georgian","St Petersburg","Moscow/St Petersburg","1","1","Georgian","Southern",0,0,0,0,0,NA,NA
136,2018-06-01,46,"Михайло Приступа","Mihailo Prystupa","male","programmer","Ukrainian","St Petersburg","Moscow/St Petersburg","1","4","Ukrainian","European",0,0,0,0,0,NA,NA
137,2018-06-01,96,"Лика Чхаидзе","Lika Chkhaidze","female","programmer","Georgian","Ufa","Kazan/Ufa","1","1","Georgian","Southern",0,0,0,0,0,NA,NA
138,2018-06-01,192,"Гузель Нигметзянова","Guzel Nigmetzyanova","female","programmer","Tatar","Ufa","Kazan/Ufa","1","1","Tatar","Southern",0,0,0,0,1,"male",0
139,2018-06-01,49,"Наталя Бойко","Natalya Boyko","female","cook","Ukrainian","Moscow","Moscow/St Petersburg","2","2","Ukrainian","European",0,1,1,1,0,"female",0
140,2018-06-01,129,"Марат Шмулевич","Marat Shmulevich","male","cook","Jewish","Moscow","Moscow/St Petersburg","2","3","Jewish","European",0,1,1,1,0,"male",0
141,2018-06-01,2,"Николай Орлов","Nikolai Orlov","male","cook","Russian","St Petersburg","Moscow/St Petersburg","2","3","Russian","European",0,0,1,1,0,"female",0
142,2018-06-01,242,"Илзе Приеде","Ilze Priede","female","cook","Latvian","St Petersburg","Moscow/St Petersburg","2","2","Latvian/Lithuanian","European",0,0,0,0,0,NA,NA
143,2018-06-01,227,"Лукас Дактарас","Lucas Daktaras","male","cook","Lithuanian","Kazan","Kazan/Ufa","2","3","Latvian/Lithuanian","European",0,0,1,1,0,"female",NA
144,2018-06-01,227,"Лукас Дактарас","Lucas Daktaras","male","cook","Lithuanian","Kazan","Kazan/Ufa","2","3","Latvian/Lithuanian","European",0,0,1,1,0,"male",NA
145,2018-06-01,180,"Рамзия Асатова","Ramziya Asatova","female","cook","Tatar","Ufa","Kazan/Ufa","2","2","Tatar","Southern",0,0,0,0,0,NA,NA
146,2018-06-01,133,"Вадим Ицкович","Vadim Itskovich","male","salesperson","Jewish","Moscow","Moscow/St Petersburg","2","3","Jewish","European",0,1,1,1,0,"male",NA
147,2018-06-01,293,"Умар Сатуев","Umar Satuev","male","salesperson","Chechen","Moscow","Moscow/St Petersburg","2","3","Chechen/Azeri","Southern",0,0,0,0,0,NA,NA
148,2018-06-01,198,"Николай Мерц","Nikolay Merts","male","salesperson","German","St Petersburg","Moscow/St Petersburg","2","3","German","European",0,0,0,0,0,NA,NA
149,2018-06-01,86,"Нана Чиковани","Nana Chikovani","female","salesperson","Georgian","St Petersburg","Moscow/St Petersburg","2","2","Georgian","Southern",0,0,0,0,0,NA,NA
150,2018-06-01,119,"Асмик Нерсесян","Hasmik Nersesyan","female","salesperson","Armenian","Kazan","Kazan/Ufa","2","2","Armenian","Southern",0,1,0,1,0,NA,NA
151,2018-06-01,311,"Макка Идрисова","Makka Idrisova","female","salesperson","Chechen","Kazan","Kazan/Ufa","2","2","Chechen/Azeri","Southern",0,1,1,1,0,"female",NA
152,2018-06-01,152,"Рада Лившиц","Rada Livshits","female","salesperson","Jewish","Ufa","Kazan/Ufa","2","2","Jewish","European",0,0,0,0,0,NA,NA
153,2018-06-01,296,"Турпал Вахаев","Turpal Vakhaev","male","salesperson","Chechen","Ufa","Kazan/Ufa","2","3","Chechen/Azeri","Southern",0,1,1,1,0,"female",0
154,2018-06-01,249,"Агне Микайлайте","Agne Mikaylayte","female","sales manager","Lithuanian","Moscow","Moscow/St Petersburg","2","2","Latvian/Lithuanian","European",0,0,0,0,1,NA,NA
